Name,StudyHours,Attendance,Result,ResultNumeric
Nakul Sharma 1,7.1,62.5,Fail,0
Jay Chauhan 2,1.0,50.7,Fail,0
Harsh Singh 3,9.0,77.5,Pass,1
Sahil Malik 4,2.8,55.8,Fail,0
Sahil Verma 5,8.2,77.4,Pass,1
Neel Rana 6,8.3,39.2,Fail,0
Arjun Gupta 7,5.6,45.3,Fail,0
Arjun Agarwal 8,8.4,71.4,Pass,1
Jay Verma 9,6.7,92.1,Pass,1
Sumit Rana 10,7.1,66.6,Fail,0
Rahul Singh 11,8.3,37.2,Fail,0
Om Kapoor 12,1.3,81.3,Fail,0
Sumit Verma 13,9.3,99.5,Pass,1
Ravi Sharma 14,8.6,80.4,Pass,1
Dharaj Shah 15,4.4,88.3,Fail,0
Jay Agarwal 16,0.2,61.0,Fail,0
Sahil Joshi 17,3.7,45.6,Fail,0
Bhavesh Joshi 18,7.3,66.3,Fail,0
Jay Verma 19,3.6,93.8,Fail,0
Om Mehta 20,4.5,91.3,Fail,0
Miraj Shah 21,4.7,81.5,Fail,0
Hash Shah 22,5.6,82.9,Pass,1
Dev Shah 23,7.8,98.3,Pass,1
Rahul Agarwal 24,8.2,87.8,Pass,1
Varun Mehta 25,2.1,74.1,Fail,0
Hash Joshi 26,7.3,87.5,Pass,1
Jay Yadav 27,4.6,72.8,Fail,0
Jay Kapoor 28,8.3,84.0,Pass,1
Utsav Sharma 29,4.7,76.4,Fail,0
Utsav Sharma 30,7.9,99.7,Pass,1
Jay Agarwal 31,4.0,87.4,Fail,0
Rahul Singh 32,7.0,69.2,Fail,0
Manav Agarwal 33,2.8,84.2,Fail,0
Vivek Kapoor 34,2.5,87.8,Fail,0
Ravi Desai 35,9.5,44.2,Fail,0
Raj Kapoor 36,0.5,58.3,Fail,0
Dev Yadav 37,8.9,49.4,Fail,0
Utsav Mehta 38,0.3,58.4,Fail,0
Nakul Patel 39,4.8,68.3,Fail,0
Bhavesh Agarwal 40,3.7,37.2,Fail,0
Miraj Desai 41,8.2,54.5,Fail,0
Parth Patel 42,4.3,40.8,Fail,0
Sumit Desai 43,8.0,86.7,Pass,1
Miraj Mehta 44,9.9,45.8,Fail,0
Neel Malik 45,1.2,36.4,Fail,0
Dev Singh 46,5.4,48.8,Fail,0
Sumit Patel 47,6.1,98.4,Pass,1
Varun Mehta 48,7.0,46.7,Fail,0
Sahil Chauhan 49,3.6,50.7,Fail,0
Arjun Chauhan 50,3.2,85.8,Fail,0
Parth Desai 51,1.3,81.9,Fail,0
Dharaj Patel 52,5.3,55.5,Fail,0
Dev Shah 53,0.6,63.6,Fail,0
Ravi Shah 54,3.4,67.9,Fail,0
Parth Verma 55,2.4,53.8,Fail,0
Utsav Malik 56,0.5,59.0,Fail,0
Nakul Joshi 57,6.6,71.8,Pass,1
Nakul Desai 58,1.7,81.7,Fail,0
Neel Malik 59,7.9,33.8,Fail,0
Amit Yadav 60,2.5,72.3,Fail,0
Amit Yadav 61,3.7,41.1,Fail,0
Rohan Mehta 62,9.4,66.4,Fail,0
Amit Malik 63,4.9,50.4,Fail,0
Manav Patel 64,2.2,66.0,Fail,0
Tushar Shah 65,9.8,69.2,Fail,0
Tushar Verma 66,1.0,75.9,Fail,0
Dev Yadav 67,9.8,50.0,Fail,0
Ansh Patel 68,3.6,83.5,Fail,0
Sumit Agarwal 69,7.3,54.5,Fail,0
Yash Kapoor 70,1.1,52.6,Fail,0
Arjun Kapoor 71,2.2,43.6,Fail,0
Amit Yadav 72,2.0,72.9,Fail,0
Kunal Verma 73,6.2,80.8,Pass,1
Varun Sharma 74,7.3,46.3,Fail,0
Nakul Chauhan 75,0.7,59.8,Fail,0
Vivek Yadav 76,3.5,89.2,Fail,0
Ravi Desai 77,2.4,63.9,Fail,0
Tushar Kapoor 78,8.2,71.8,Pass,1
Palav Agarwal 79,7.4,98.7,Pass,1
Bhavesh Patel 80,3.3,47.3,Fail,0
Ansh Rana 81,4.7,48.6,Fail,0
Om Singh 82,7.1,80.3,Pass,1
Miraj Joshi 83,8.4,89.5,Pass,1
Jay Kapoor 84,7.8,95.2,Pass,1
Parth Sharma 85,3.1,84.0,Fail,0
Harsh Yadav 86,6.1,34.8,Fail,0
Varun Agarwal 87,8.9,46.2,Fail,0
Ansh Malik 88,1.0,61.5,Fail,0
Chirag Malik 89,4.4,65.5,Fail,0
Chirag Desai 90,0.8,38.9,Fail,0
Manav Sharma 91,9.8,52.9,Fail,0
Bhavesh Verma 92,2.2,94.2,Fail,0
Dharaj Kapoor 93,6.0,58.4,Fail,0
Yash Malik 94,2.7,77.5,Fail,0
Kunal Joshi 95,0.3,90.6,Fail,0
Smit Joshi 96,8.1,67.2,Fail,0
Rahul Sharma 97,6.9,31.8,Fail,0
Neel Chauhan 98,7.0,54.0,Fail,0
Nakul Gupta 99,2.4,46.7,Fail,0
Amit Malik 100,0.6,35.9,Fail,0
Amit Chauhan 101,2.9,53.7,Fail,0
Ansh Desai 102,9.6,90.2,Pass,1
Dev Agarwal 103,8.3,58.4,Fail,0
Dharaj Joshi 104,4.6,34.5,Fail,0
Sumit Shah 105,6.7,49.3,Fail,0
Arjun Desai 106,5.3,82.4,Pass,1
Dev Singh 107,5.7,84.1,Pass,1
Neel Singh 108,0.0,85.2,Fail,0
Amit Rana 109,0.8,62.9,Fail,0
Dharaj Agarwal 110,3.8,68.0,Fail,0
Amit Yadav 111,8.6,79.3,Pass,1
Neel Malik 112,2.3,58.0,Fail,0
Vivek Patel 113,8.2,46.5,Fail,0
Jay Mehta 114,1.9,66.7,Fail,0
Manav Joshi 115,5.9,44.3,Fail,0
Dev Chauhan 116,7.9,58.3,Fail,0
Raj Rana 117,9.9,90.2,Pass,1
Dev Yadav 118,0.6,95.5,Fail,0
Raj Kapoor 119,8.4,46.8,Fail,0
Arjun Kapoor 120,4.8,75.5,Fail,0
Miraj Patel 121,2.3,70.3,Fail,0
Sumit Desai 122,3.6,81.1,Fail,0
Hash Kapoor 123,2.5,84.7,Fail,0
Chirag Shah 124,0.5,64.8,Fail,0
Raj Chauhan 125,4.8,95.9,Fail,0
Yash Rana 126,5.4,95.3,Pass,1
Sumit Singh 127,9.0,88.7,Pass,1
Sumit Malik 128,3.4,47.4,Fail,0
Ravi Agarwal 129,8.2,58.0,Fail,0
Tushar Rana 130,8.6,44.1,Fail,0
Tushar Sharma 131,6.8,61.6,Fail,0
Rohan Mehta 132,2.2,45.4,Fail,0
Dharaj Malik 133,6.7,81.2,Pass,1
Rohan Patel 134,4.4,43.4,Fail,0
Hash Joshi 135,9.6,45.5,Fail,0
Chirag Sharma 136,5.4,96.2,Pass,1
Rahul Yadav 137,3.6,47.9,Fail,0
Jay Gupta 138,8.0,93.4,Pass,1
Utsav Shah 139,8.3,61.4,Fail,0
Ansh Singh 140,5.8,91.8,Pass,1
Neel Joshi 141,8.2,90.7,Pass,1
Amit Agarwal 142,2.9,37.9,Fail,0
Rahul Shah 143,9.6,62.3,Fail,0
Varun Shah 144,7.5,67.9,Fail,0
Jay Malik 145,3.2,75.8,Fail,0
Manav Gupta 146,1.2,59.5,Fail,0
Ravi Desai 147,6.9,57.6,Fail,0
Hash Chauhan 148,8.1,51.3,Fail,0
Ravi Yadav 149,7.0,60.0,Fail,0
Varun Sharma 150,2.1,58.4,Fail,0
Raj Chauhan 151,1.0,89.6,Fail,0
Dharaj Yadav 152,3.3,67.5,Fail,0
Nakul Agarwal 153,5.2,81.1,Pass,1
Smit Verma 154,9.2,73.4,Pass,1
Ravi Agarwal 155,8.1,70.7,Pass,1
Dev Joshi 156,0.0,72.5,Fail,0
Palav Kapoor 157,9.2,97.3,Pass,1
Rohan Yadav 158,7.6,59.0,Fail,0
Arjun Chauhan 159,1.6,80.4,Fail,0
Manav Sharma 160,7.6,58.9,Fail,0
Palav Patel 161,5.2,56.1,Fail,0
Kunal Desai 162,9.3,97.6,Pass,1
Chirag Gupta 163,6.3,42.5,Fail,0
Neel Malik 164,8.6,51.6,Fail,0
Palav Sharma 165,4.1,63.8,Fail,0
Om Patel 166,1.5,42.0,Fail,0
Yash Patel 167,0.2,65.4,Fail,0
Amit Joshi 168,8.8,72.3,Pass,1
Hash Chauhan 169,7.5,36.8,Fail,0
Smit Mehta 170,6.4,77.4,Pass,1
Harsh Chauhan 171,1.5,93.2,Fail,0
Hash Agarwal 172,2.5,81.1,Fail,0
Tushar Singh 173,0.1,45.1,Fail,0
Raj Malik 174,3.3,91.4,Fail,0
Rohan Desai 175,0.2,67.5,Fail,0
Harsh Malik 176,6.1,93.4,Pass,1
Raj Shah 177,0.6,81.3,Fail,0
Sumit Mehta 178,9.5,83.8,Pass,1
Neel Joshi 179,5.3,32.4,Fail,0
Neel Gupta 180,0.2,97.2,Fail,0
Dharaj Yadav 181,1.2,82.1,Fail,0
Bhavesh Shah 182,4.9,57.7,Fail,0
Palav Patel 183,9.6,55.2,Fail,0
Dev Kapoor 184,8.4,58.2,Fail,0
Neel Gupta 185,1.7,72.8,Fail,0
Kunal Sharma 186,9.7,79.5,Pass,1
Rohan Verma 187,8.4,94.9,Pass,1
Vivek Kapoor 188,2.1,55.8,Fail,0
Jay Desai 189,7.7,56.3,Fail,0
Vivek Shah 190,0.2,63.4,Fail,0
Rahul Malik 191,1.0,30.8,Fail,0
Varun Chauhan 192,0.9,43.0,Fail,0
Manav Kapoor 193,9.0,67.4,Fail,0
Manav Sharma 194,5.5,74.4,Pass,1
Dev Mehta 195,7.0,53.6,Fail,0
Palav Malik 196,4.3,77.5,Fail,0
Rohan Patel 197,3.8,98.2,Fail,0
Arjun Verma 198,8.3,54.9,Fail,0
Rahul Kapoor 199,8.7,47.4,Fail,0
Dharaj Rana 200,9.2,50.5,Fail,0
Kunal Desai 201,3.3,87.5,Fail,0
Rahul Desai 202,2.4,43.8,Fail,0
Rohan Agarwal 203,5.7,41.8,Fail,0
Hash Malik 204,8.8,98.5,Pass,1
Rahul Chauhan 205,1.3,97.4,Fail,0
Rahul Kapoor 206,6.7,60.3,Fail,0
Kunal Desai 207,5.2,73.3,Pass,1
Chirag Rana 208,1.4,54.8,Fail,0
Sumit Gupta 209,7.4,85.7,Pass,1
